group_key,n_members,avg_ret_6m,group_rs_6m,group_rs_100,group_rs_99,group_rank,group_grade
Communication Services | Advertising Agencies,40,2.818002292454024,2.3737970630672285,100.0,99.0,1,A
Technology | Electronic Components,40,0.2773277106763854,0.34290585023186665,86.3013698630137,85.43835616438356,21,B
Energy | Thermal Coal,4,0.4143847753856415,0.3405858631713385,85.61643835616438,84.76027397260273,22,B
Technology | Solar,21,0.19850827340202049,0.329813451094527,84.93150684931507,84.08219178082192,23,B
Healthcare | Diagnostics & Research,43,0.41967583274643755,0.3255093136710864,84.24657534246576,83.4041095890411,24,B
"Consumer Cyclical | Furnishings, Fixtures & Appliances",24,0.2550656450414787,0.31703030219640965,83.56164383561644,82.72602739726028,25,B
Communication Services | Broadcasting,13,0.30014480432595353,0.2702135452415376,82.87671232876713,82.04794520547945,26,B
Consumer Defensive | Discount Stores,7,0.10965441274237876,0.24943679200924,82.1917808219178,81.36986301369862,27,B
Industrials | Aerospace & Defense,59,0.1331708407038852,0.24464728100173164,81.5068493150685,80.69178082191782,28,B
Industrials | Engineering & Construction,43,0.14934965897066932,0.2303205896336638,80.82191780821918,80.01369863013699,29,B
Financial Services | Mortgage Finance,6,0.6690494981812901,0.22560089347006418,80.13698630136986,79.33561643835617,30,B
Real Estate | REIT - Healthcare Facilities,10,0.22437656169165318,0.2171138100985574,79.45205479452055,78.65753424657534,31,B
Energy | Oil & Gas Refining & Marketing,12,0.20338401658113794,0.2111609226854414,78.76712328767124,77.97945205479452,32,B
Consumer Cyclical | Lodging,8,0.32273554287619866,0.20874260286331844,78.08219178082192,77.3013698630137,33,B
Industrials | Conglomerates,21,0.11597509979335238,0.2072511925287144,77.3972602739726,76.62328767123287,34,B
Industrials | Specialty Industrial Machinery,53,0.2854274976024474,0.20249907848677118,76.71232876712328,75.94520547945206,35,B
Healthcare | Medical Care Facilities,41,-0.014642494357533061,0.19822901133483953,76.02739726027397,75.26712328767124,36,B
Technology | Computer Hardware,31,0.25625429395021987,0.19318882596969603,75.34246575342466,74.58904109589041,37,B
Industrials | Airlines,13,0.3572955945663156,0.19009808537897988,74.65753424657534,73.91095890410959,38,B
Consumer Cyclical | Internet Retail,30,0.24932418704823003,0.17007484176380777,73.97260273972603,73.23287671232876,39,B
Consumer Cyclical | Auto Parts,45,0.13440805205985493,0.16974503212103764,73.28767123287672,72.55479452054794,40,B
Energy | Oil & Gas Equipment & Services,29,0.2121972873656503,0.1656439748584022,72.6027397260274,71.87671232876713,41,B
Healthcare | Drug Manufacturers - General,14,0.26790629784626413,0.15495688091894708,71.91780821917808,71.1986301369863,42,B
Real Estate | Real Estate - Development,11,0.29261282162561475,0.1526767097386141,71.23287671232876,70.52054794520548,43,B
Real Estate | Real Estate Services,36,0.3642201951421148,0.1520915986285022,70.54794520547945,69.84246575342466,44,B
Energy | Oil & Gas Drilling,4,0.2880660240343743,0.1453169570564019,69.86301369863014,69.16438356164383,45,C
Healthcare | Medical Distribution,11,0.009441012103362201,0.14251463431976716,69.17808219178082,68.48630136986301,46,C
Utilities | Utilities - Regulated Gas,8,0.11368760294654207,0.14038504673074986,68.4931506849315,67.80821917808218,47,C
Utilities | Utilities - Regulated Electric,32,0.08770386765049903,0.14035308713249506,67.8082191780822,67.13013698630138,48,C
Financial Services | Banks - Regional,331,0.19312497064777878,0.13496946282372804,67.12328767123287,66.45205479452055,49,C
Real Estate | Real Estate - Diversified,1,0.26912720813377344,0.12688391333880147,66.43835616438356,65.77397260273972,50,C
Technology | Software - Infrastructure,141,0.06075901982233206,0.12385229278423784,65.75342465753424,65.0958904109589,51,C
Utilities | Utilities - Diversified,6,0.09005469571460863,0.123149082845947,65.06849315068493,64.41780821917808,52,C
Consumer Cyclical | Travel Services,16,0.17733091259673048,0.11994720752830872,64.38356164383562,63.73972602739726,53,C
Communication Services | Telecom Services,43,0.20371406949107274,0.11725264712880085,63.6986301369863,63.06164383561644,54,C
Consumer Defensive | Beverages - Brewers,4,-0.004134599371178521,0.11356462849717773,63.013698630136986,62.38356164383561,55,C
Industrials | Metal Fabrication,12,0.01658001972028998,0.11124602278530865,62.328767123287676,61.7054794520548,56,C
Consumer Defensive | Farm Products,23,0.0954664870068027,0.10375457453868872,61.64383561643836,61.02739726027397,57,C
